station,year,dvr1,dvr2,cd,obj
Gunwi,2010,1900-05-03,1900-04-22,1900-04-27,1900-05-03
Gunwi,2011,1900-05-03,1900-04-25,1900-04-20,1900-05-01
Gunwi,2012,1900-04-30,1900-04-28,1900-04-22,1900-04-28
Gunwi,2013,1900-05-05,1900-04-25,1900-04-17,1900-04-28
Gunwi,2014,1900-04-22,1900-04-15,1900-04-09,1900-04-22
Gunwi,2015,1900-04-29,1900-04-20,1900-04-21,1900-04-25
Gunwi,2016,1900-04-22,1900-04-14,1900-04-11,1900-04-20
Gunwi,2017,1900-04-25,1900-04-24,1900-04-13,1900-04-22
Gunwi,2018,1900-04-19,1900-04-13,1900-04-10,1900-04-19
Gunwi,2019,1900-04-23,1900-04-16,1900-04-09,1900-04-23
Gunwi,2020,1900-04-18,1900-04-07,1900-04-06,1900-04-25
Gunwi,2021,1900-04-22,1900-04-06,1900-04-03,1900-04-20
Gunwi,2022,1900-04-17,1900-04-14,1900-04-12,1900-04-22
Gunwi,2023,1900-04-19,1900-04-13,1900-04-01,1900-04-17
Gunwi,2024,1900-04-18,1900-04-08,1900-04-11,1900-04-21
