year,station,dvs,mdvr,cd,obj
2004,Sangju,1900-04-11,1900-04-15,1900-04-18,
2005,Sangju,1900-04-18,1900-04-24,1900-04-27,
2006,Sangju,1900-04-14,1900-04-23,1900-04-28,
2007,Sangju,1900-04-14,1900-04-22,1900-04-25,
2008,Sangju,1900-04-13,1900-04-19,1900-04-22,
2009,Sangju,1900-04-09,1900-04-18,1900-04-19,
2010,Sangju,1900-04-25,1900-05-02,1900-05-06,
2011,Sangju,1900-04-21,1900-04-26,1900-05-02,
2012,Sangju,1900-04-20,1900-04-24,1900-04-29,
2013,Sangju,1900-04-18,1900-04-27,1900-05-04,
2014,Sangju,1900-04-09,1900-04-15,1900-04-19,
2015,Sangju,1900-04-13,1900-04-20,1900-04-24,
2016,Sangju,1900-04-07,1900-04-14,1900-04-18,
2017,Sangju,1900-04-08,1900-04-16,1900-04-19,
2018,Sangju,1900-04-06,1900-04-12,1900-04-17,
2019,Sangju,1900-04-10,1900-04-18,1900-04-22,
2020,Sangju,1900-04-03,1900-04-16,1900-04-21,
2021,Sangju,1900-03-31,1900-04-13,1900-04-17,
2022,Sangju,1900-04-10,1900-04-15,1900-04-18,
2023,Sangju,1900-03-31,1900-04-09,1900-04-13,
2024,Sangju,1900-04-07,1900-04-14,1900-04-16,
2024,sangju,,,,1900-04-13
2023,sangju,,,,1900-04-11
2019,sangju,,,,1900-04-17
2014,sangju,,,,1900-04-10
2013,sangju,,,,1900-04-14
2012,sangju,,,,1900-04-20
2011,sangju,,,,1900-04-22
