year,station,내생휴면 해제일,예상 만개일
2004,sacheon,2004-01-30,2004-04-13
2005,sacheon,2005-02-09,2005-04-23
2006,sacheon,2006-02-01,2006-04-22
2007,sacheon,2007-01-24,2007-04-15
2008,sacheon,2008-02-02,2008-04-21
2009,sacheon,2009-02-02,2009-04-12
2010,sacheon,2010-02-08,2010-04-25
2011,sacheon,2011-02-15,2011-04-26
2012,sacheon,2012-02-15,2012-04-23
2013,sacheon,2013-02-05,2013-04-24
2014,sacheon,2014-01-28,2014-04-15
2015,sacheon,2015-01-27,2015-04-19
2016,sacheon,2016-02-04,2016-04-14
2017,sacheon,2017-01-27,2017-04-16
2018,sacheon,2018-02-14,2018-04-18
2019,sacheon,2019-01-23,2019-04-17
2020,sacheon,2020-01-30,2020-04-14
2021,sacheon,2021-02-03,2021-04-05
2022,sacheon,2022-01-28,2022-04-13
2023,sacheon,2023-02-03,2023-04-11
2024,sacheon,2024-02-04,2024-04-16
