"행정구역별(1)",2021,2021,2021,2021
"행정구역별(1)",농가수 (호),면적 (ha),판매량 (천본/천분),판매액 (천원)
"전국",7009,4217.6,734426,538240240
"서울특별시",103,13.4,1287,4719610
"부산광역시",364,144.5,52203,36568503
"대구광역시",64,24.6,6290,5628718
"인천광역시",38,17.6,13139,5888740
"광주광역시",47,33.4,9320,5779085
"대전광역시",33,11.4,1979,3137150
"울산광역시",33,8.1,873,2791438
"세종특별자치시",54,66.8,4573,2328980
"경기도",2123,832.5,253534,233437296
"강원도",159,149.0,27114,13434439
"충청북도",275,155.1,44421,29468572
"충청남도",582,399.0,60109,36453916
"전라북도",580,515.0,41516,20526991
"전라남도",1243,833.4,85165,66641884
"경상북도",317,242.5,36788,19773172
"경상남도",879,664.8,90005,45774881
"제주특별자치도",115,106.4,6109,5886865
